Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),242,"Groundnuts, with shell",2005,2005,LCU,515987.5,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),242,"Groundnuts, with shell",2006,2006,LCU,488463.2,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),242,"Groundnuts, with shell",2007,2007,LCU,551110.9,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),242,"Groundnuts, with shell",2008,2008,LCU,699757.4,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),242,"Groundnuts, with shell",2009,2009,LCU,729861.2,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),242,"Groundnuts, with shell",2010,2010,LCU,765079.5,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),242,"Groundnuts, with shell",2011,2011,LCU,788697.7,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),242,"Groundnuts, with shell",2012,2012,LCU,930681.5,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),242,"Groundnuts, with shell",2013,2013,LCU,1034064.4,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),242,"Groundnuts, with shell",2014,2014,LCU,1005251.1,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),242,"Groundnuts, with shell",2015,2015,LCU,933132.9,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),242,"Groundnuts, with shell",2000,2000,USD,604.7,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),242,"Groundnuts, with shell",2001,2001,USD,382.2,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),242,"Groundnuts, with shell",2002,2002,USD,418,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),242,"Groundnuts, with shell",2003,2003,USD,479.6,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),242,"Groundnuts, with shell",2004,2004,USD,477.4,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),242,"Groundnuts, with shell",2005,2005,USD,457.1,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),242,"Groundnuts, with shell",2006,2006,USD,390.2,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),242,"Groundnuts, with shell",2007,2007,USD,442.6,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),242,"Groundnuts, with shell",2008,2008,USD,584.9,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),242,"Groundnuts, with shell",2009,2009,USD,552.8,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),242,"Groundnuts, with shell",2010,2010,USD,542.9,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),242,"Groundnuts, with shell",2011,2011,USD,501.7,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),242,"Groundnuts, with shell",2012,2012,USD,587.9,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),242,"Groundnuts, with shell",2013,2013,USD,646.1,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),242,"Groundnuts, with shell",2014,2014,USD,607.8,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),242,"Groundnuts, with shell",2015,2015,USD,468.6,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),56,Maize,2000,2000,LCU,96000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),56,Maize,2001,2001,LCU,105000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),56,Maize,2002,2002,LCU,119000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),56,Maize,2003,2003,LCU,156000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),56,Maize,2004,2004,LCU,180000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),56,Maize,2005,2005,LCU,178366.8,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),56,Maize,2006,2006,LCU,268000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),56,Maize,2007,2007,LCU,180000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),56,Maize,2008,2008,LCU,317000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),56,Maize,2009,2009,LCU,373000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),56,Maize,2010,2010,LCU,421000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),56,Maize,2011,2011,LCU,433996.4,F,FAO estimate
